Country,Index
Afghanistan,0
Japan,1
United States,2
Bulgaria,3
Soviet Union,4
Russia,5
Germany,6
Denmark,7
Netherlands,8
Iran,9
Cuba,10
Kazakhstan,11
Hungary,12
Canada,13
Peru,14
China,15
Sweden,16
Switzerland,17
France,18
Belgium,19
Romania,20
Italy,21
Austria,22
United Arab Emirates,23
United Kingdom,24
Israel,25
Slovakia,26
Mongolia,27
Ukraine,28
Brazil,29
South Africa,30
Poland,31
Syria,32
Spain,33
Vietnam,34
India,35
Mexico,36
Malaysia,37
East Germany,38
Saudi Arabia,39
Czechoslovakia,40
South Korea,41
