Name,Index
Abdul Ahad Mohmand,0
Akihiko Hoshide,1
Alan Bean,2
Alan G. Poindexter,3
Alan Shepard,4
Albert Sacco,5
Aleksandar Panayotov Aleksandrov,6
Aleksandr Balandin,7
Aleksandr Ivanchenkov,8
Aleksandr Laveykin,9
Aleksandr Lazutkin,10
Aleksandr Misurkin,11
Aleksandr Pavlovich Aleksandrov,12
Aleksandr Samokutyayev,13
Aleksandr Serebrov,14
Aleksandr Skvortsov,15
Aleksei Gubarev,16
Aleksei Leonov,17
Aleksei Yeliseyev,18
Aleksey Ovchinin,19
Alexander Gerst,20
Alexander Kaleri,21
Alexander Poleshchuk,22
Alexander Viktorenko,23
Alexander Volkov,24
Alfred Worden,25
Anatoli Berezovoy,26
Anatoli Ivanishin,27
Anatoli Levchenko,28
Anatoly Artsebarsky,29
Anatoly Filipchenko,30
Anatoly Solovyev,31
Andreas Mogensen,32
Andrei Borisenko,33
Andrew J. Feustel,34
Andrew M. Allen,35
Andrew R. Morgan,36
Andrew Thomas,37
Andriyan Nikolayev,38
André Kuipers,39
"Anna Lee Fisher, M.D.",40
Anne McClain,41
Anousheh Ansari,42
Anthony W. England,43
Anton Shkaplerov,44
Arnaldo Tamayo Méndez,45
Aydyn Aimbetov,46
B. Alvin Drew,47
Barbara Morgan,48
Barry Wilmore,49
"Bernard A. Harris, Jr.",50
Bertalan Farkas,51
Bjarni Tryggvason,52
Bonnie J. Dunbar,53
Boris Morukov,54
Boris Volynov,55
"Boris Yegorov, M.D.",56
"Brent W. Jett, Jr.",57
Brewster Shaw,58
Brian Binnie,59
Brian Duffy,60
Bruce McCandless II,61
Bruce Melnick,62
Bryan O'Connor,63
Buzz Aldrin,64
Byron Lichtenberg,65
Carl Meade,66
Carl Walz,67
Carlos I. Noriega,68
Catherine Coleman,69
"Charles ""Pete"" Conrad",70
Charles Bolden,71
Charles Camarda,72
Charles D. Walker,73
Charles Duke,74
"Charles E. Brady, Jr., M.D.",75
Charles Fullerton,76
Charles Gemar,77
Charles Hobaugh,78
Charles Precourt,79
Charles Simonyi,80
Charles Veach,81
Chen Dong,82
"Chiaki Mukai, M.D.",83
Chris Hadfield,84
Christer Fuglesang,85
Christina Koch,86
Christopher Cassidy,87
Christopher Ferguson,88
Claude Nicollier,89
"Claudie Haigneré, EAC",90
Clayton Anderson,91
Curtis Brown,92
"Dafydd Williams, M.D.",93
Dale Gardner,94
Daniel Barry,95
Daniel Brandenstein,96
Daniel Burbank,97
Daniel Bursch,98
Daniel Tani,99
David Griggs,100
David Hilmers,101
David Leestma,102
David M. Brown,103
David M. Walker,104
David Saint-Jacques,105
David Scott,106
"David Wolf, M.D.",107
Dennis Tito,108
Dick Scobee,109
Dirk Frimout,110
Dmitri Kondratyev,111
Dominic A. Antonelli,112
Dominic Gorie,113
Don Lind,114
"Donald ""Deke"" Slayton",115
Donald McMonagle,116
Donald Peterson,117
Donald Pettit,118
Donald Thomas,119
Donald Williams,120
Donn F. Eisele,121
Dorothy M. Metcalf-Lindenburger,122
Douglas G. Hurley,123
Douglas Wheelock,124
Duane G. Carey,125
Dumitru Prunariu,126
Edgar Mitchell,127
Edward Gibson,128
Edward Lu,129
Edward White,130
Edwin J. Garn,131
Eileen Collins,132
Ellen Ochoa,133
"Ellen S. Baker, M.D.",134
Ellison Onizuka,135
Eric A. Boe,136
Ernst Messerschmid,137
Eugene Cernan,138
Eugene Trinh,139
Evgeny Tarelkin,140
"F. Drew Gaffney, M.D.",141
Fei Junlong,142
Franco Malerba,143
Frank Borman,144
Frank De Winne,145
"Frank L. Culbertson, Jr.",146
Franklin Chang-Diaz,147
Franz Viehböck,148
Fred Haise,149
Frederick Gregory,150
Frederick Hauck,151
Frederick Sturckow,152
Frederick W. Leslie,153
Fyodor Yurchikhin,154
G. David Low,155
Garrett Reisman,156
Gary Payton,157
Gennadi Manakov,158
Gennadi Sarafanov,159
Gennady Padalka,160
Gennady Strekalov,161
George D. Zamka,162
George Nelson,163
Georgi Beregovoi,164
Georgi Dobrovolski,165
Georgi Grechko,166
Georgi Ivanov,167
Georgi Shonin,168
Gerald P. Carr,169
Gerhard Thiele,170
Gherman Titov,171
Gregory B. Jarvis,172
Gregory C. Johnson,173
Gregory Chamitoff,174
Gregory H. Johnson,175
Gregory Harbaugh,176
Gregory Linteris,177
Gregory Olsen,178
Gregory R. Wiseman,179
Guion Bluford,180
Guy Gardner,181
Guy Laliberté,182
Hans Schlegel,183
Harrison Schmitt,184
Hazza Al Mansouri,185
Heidemarie Stefanyshyn-Piper,186
Helen Sharman,187
Henry Hartsfield,188
Igor Volk,189
Ilan Ramon,190
Ivan Bella,191
Ivan Vagner,192
Jack D. Fischer,193
Jack Lousma,194
"James ""Ox"" van Hoften",195
James Adamson,196
James Buchli,197
James Dutton,198
James F. Reilly,199
James H. Newman,200
James Halsell,201
James Irwin,202
James M. Kelly,203
James McDivitt,204
"James P. Bagian, M.D.",205
James Pawelczyk,206
James Voss,207
James Wetherbee,208
Janet L. Kavandi,209
Janice Voss,210
"Jay C. Buckey, M.D.",211
"Jean-François Clervoy, EAC",212
Jean-Jacques Favier,213
Jean-Loup Chrétien,214
"Jean-Pierre Haigneré, EAC",215
Jeffrey Ashby,216
Jeffrey Hoffman,217
Jeffrey Williams,218
Jerome Apt,219
Jerry L. Ross,220
Jerry Linenger,221
Jessica Meir,222
Jim Lovell,223
Jing Haipeng,224
Joan Higginbotham,225
Joe Edwards,226
Joe H. Engle,227
"John ""Jack"" Swigert",228
John Blaha,229
John Casper,230
John D. Olivas,231
John Fabian,232
John Glenn,233
John Grunsfeld,234
John Herrington,235
John Lounge,236
John O. Creighton,237
John Phillips,238
John Young,239
John-David F. Bartoe,240
Jon McBride,241
Joseph A. Walker,242
"Joseph Kerwin, M.D.",243
Joseph M. Acaba,244
Joseph P. Allen,245
Joseph Tanner,246
José Hernández,247
Judith Resnik,248
Julie Payette,249
Jügderdemidiin Gürragchaa,250
K. Megan McArthur,251
Kalpana Chawla,252
Karen Nyberg,253
Karl Henize,254
Karol Bobko,255
Kathleen Rubins,256
Kathryn Hire,257
Kathryn Sullivan,258
Kathryn Thornton,259
Kenneth Bowersox,260
Kenneth Cockrell,261
Kenneth D. Cameron,262
Kenneth Ham,263
Kenneth Reightler,264
Kent Rominger,265
Kevin A. Ford,266
Kevin Kregel,267
Kevin P. Chilton,268
Kimiya Yui,269
Kjell N. Lindgren,270
Klaus-Dietrich Flade,271
Koichi Wakata,272
Konstantin Feoktistov,273
Konstantin Kozeyev,274
"L. Gordon Cooper, Jr.",275
"Laurel B. Clark, M.D.",276
Lawrence J. DeLucas,277
Lee Archambault,278
Lee Morin,279
Leland D. Melvin,280
Leonid Kadeniuk,281
Leonid Kizim,282
Leonid Popov,283
Leroy Chiao,284
Lev Dyomin,285
Linda Godwin,286
Lisa Nowak,287
Liu Boming,288
Liu Wang,289
Liu Yang,290
Lloyd Hammond,291
Lodewijk van den Berg,292
Loren Acton,293
Loren Shriver,294
Luca Parmitano,295
"Léopold Eyharts, EAC",296
"Mae Jemison, M.D.",297
Maksim Surayev,298
Mamoru Mohri,299
Marc Garneau,300
Marcos Pontes,301
"Mario Runco, Jr.",302
Mark Brown,303
Mark C. Lee,304
Mark Kelly,305
Mark Polansky,306
Mark Shuttleworth,307
Mark Vande Hei,308
Marsha Ivins,309
Martin J. Fettman,310
Mary Ellen Weber,311
Mary L. Cleave,312
Maurizio Cheli,313
Michael Baker,314
Michael Coats,315
Michael Collins,316
Michael Fincke,317
Michael Foale,318
Michael Foreman,319
Michael Fossum,320
Michael Gernhardt,321
Michael J. Bloomfield,322
Michael J. McCulley,323
Michael J. Smith,324
Michael Lopez-Alegria,325
Michael Massimino,326
Michael Melvill,327
Michael P. Anderson,328
"Michael R. Barratt, M.D.",329
Michael R. Clifford,330
Michael S. Hopkins,331
Michael T. Good,332
"Michel Tognini, EAC",333
Mikhail Korniyenko,334
Mikhail Tyurin,335
Millie Hughes-Fulford,336
Miroslaw Hermaszewski,337
Muhammed Faris,338
Musa Manarov,339
Nancy J. Currie,340
Nancy Jan Davis,341
Naoko Yamazaki,342
Neil Armstrong,343
Nicholas Patrick,344
Nick Hague,345
Nicole Marie Passonno Stott,346
Nikolai Budarin,347
Nikolay Rukavishnikov,348
Niè Hǎishèng,349
Norishige Kanai,350
"Norman Thagard, M.D.",351
Oleg Artemyev,352
Oleg Atkov,353
Oleg Kononenko,354
Oleg Kotov,355
Oleg Makarov,356
Oleg Novitskiy,357
Oleg Skripochka,358
Owen Garriott,359
Pamela Melroy,360
Paolo A. Nespoli,361
Patrick Baudry,362
Patrick Forrester,363
Paul Lockhart,364
Paul Scully-Power,365
Paul W. Richards,366
Paul Weitz,367
Pavel Belyayev,368
Pavel Popovich,369
Pavel Vinogradov,370
Pedro Duque,371
Peggy Whitson,372
Peter Wisoff,373
Petr Klimuk,374
"Philippe Perrin, EAC",375
Phạm Tuân,376
Pierre Thuot,377
Piers Sellers,378
Rakesh Sharma,379
Randolph Bresnik,380
Reinhard Furrer,381
Reinhold Ewald,382
Rex Walheim,383
"Rhea Seddon, M.D.",384
Richard Garriott,385
Richard Gordon,386
Richard Hieb,387
Richard Linnehan,388
Richard Mastracchio,389
Richard Mullane,390
Richard N. Richards,391
Richard O. Covey,392
Richard R. Arnold,393
Richard Searfoss,394
Richard Truly,395
Rick Husband,396
Robert Crippen,397
Robert Curbeam,398
Robert D. Cabana,399
Robert J. Cenker,400
Robert L. Behnken,401
Robert L. Gibson,402
Robert Overmyer,403
Robert Parker,404
Robert S. Kimbrough,405
"Robert Satcher, M.D.",406
Robert Springer,407
Robert Stewart,408
"Robert Thirsk, M.D.",409
"Roberta Bondar, M.D.",410
Roberto Vittori,411
Rodolfo Neri Vela,412
Roger K. Crouch,413
Roman Romanenko,414
Ronald A. Parise,415
Ronald Evans,416
Ronald Garan,417
Ronald Grabe,418
Ronald McNair,419
Ronald Sega,420
Roy Bridges,421
Rusty Schweickart,422
S. Christa McAuliffe,423
Salizhan Sharipov,424
Sally Ride,425
Samantha Cristoforetti,426
Samuel T. Durrance,427
Sandra Magnus,428
Satoshi Furukawa,429
Scott Altman,430
Scott Carpenter,431
Scott D. Tingle,432
Scott Horowitz,433
Scott Kelly,434
"Scott Parazynski, M.D.",435
Serena Auñón-Chancellor,436
Sergei Avdeyev,437
Sergei Krikalev,438
Sergei Revin,439
Sergei Ryazanski,440
Sergei Treshchov,441
Sergei Zalyotin,442
Sergey Nikolayevich Ryzhikov,443
Sergey Prokopyev,444
Sergey Volkov,445
Shannon Lucid,446
Shannon Walker,447
"Sheikh Muszaphar Shukor, M.D.",448
Sherwood Spring,449
Sidney Gutierrez,450
Sigmund Jähn,451
Soichi Noguchi,452
"Sonny Carter, M.D.",453
Stanley G. Love,454
Stephanie Wilson,455
Stephen Frick,456
Stephen G. Bowen,457
Stephen Oswald,458
Stephen Robinson,459
Steven Hawley,460
Steven Lindsey,461
Steven MacLean,462
Steven R. Nagel,463
Steven Smith,464
Steven Swanson,465
"Story Musgrave, M.D.",466
Stuart Roosa,467
Sultan bin Salman bin Abdulaziz Al Saud,468
"Sunita ""Suni"" Williams",469
Susan Helms,470
Susan Still Kilrain,471
Svetlana Savitskaya,472
Takao Doi,473
Takuya Onishi,474
Talgat Musabayev,475
Tamara E. Jernigan,476
Taylor Wang,477
Terence Henricks,478
Terrence Wilcutt,479
Terry Hart,480
Terry Virts,481
Thomas Akers,482
Thomas D. Jones,483
Thomas Hennen,484
"Thomas Kenneth ""Ken"" Mattingly II",485
"Thomas Marshburn, M.D.",486
Thomas Patten Stafford,487
Thomas Pesquet,488
Thomas Reiter,489
Timothy Creamer,490
Timothy L. Kopra,491
Timothy Peake,492
Toktar Aubakirov,493
Tracy Caldwell Dyson,494
Ulf Merbold,495
Ulrich Walter,496
Umberto Guidoni,497
Valentin Lebedev,498
Valentina Tereshkova,499
Valeri Kubasov,500
"Valeri Polyakov, M.D.",501
Valery Bykovsky,502
Valery Korzun,503
Valery Rozhdestvensky,504
Valery Ryumin,505
Valery Tokarev,506
Vance Brand,507
Vasili Lazarev,508
Vasili Tsibliyev,509
Viktor Gorbatko,510
Viktor M. Afanasyev,511
Viktor Patsayev,512
Viktor Savinykh,513
"Virgil I. ""Gus"" Grissom",514
Vitali Sevastyanov,515
Vitaliy Zholobov,516
Vladimir Aksyonov,517
Vladimir Dzhanibekov,518
Vladimir Komarov,519
Vladimir Kovalyonok,520
Vladimir Lyakhov,521
Vladimir N. Dezhurov,522
Vladimir Shatalov,523
Vladimir Solovyov,524
Vladimir Titov,525
Vladimir Vasyutin,526
Vladimír Remek,527
Vladislav Volkov,528
Vyacheslav Zudov,529
Walter Cunningham,530
Walter Schirra,531
Wang Yaping,532
Wendy Lawrence,533
William Anders,534
William B. Lenoir,535
William C. McCool,536
"William E. Thornton, M.D.",537
"William Frederick Fisher, M.D.",538
William Gregory,539
William Oefelein,540
William Pailes,541
William Pogue,542
William Readdy,543
William S. McArthur,544
William Shepherd,545
Winston Scott,546
Wubbo Ockels,547
Yang Liwei,548
Yelena Kondakova,549
Yelena Serova,550
Yevgeny Khrunov,551
Yi So-yeon,552
Yuri Artyukhin,553
Yuri Baturin,554
Yuri Gagarin,555
Yuri Gidzenko,556
Yuri Glazkov,557
Yuri Lonchakov,558
Yuri Malenchenko,559
Yuri Malyshev,560
Yuri Onufrienko,561
Yuri Romanenko,562
Yuri Shargin,563
Yury Usachov,564
Zhai Zhigang,565
Zhang Xiaoguang,566
